Comment,Designator,Footprint,LCSC
10n,C11,C_0402_1005Metric,C15195
100n,"C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C4,C6,C8,C9",C_0402_1005Metric,C1525
33p,"C12,C13",C_0402_1005Metric,C1562
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12 (marbastlib),C165948
4u7,"C5,C7",C_0402_1005Metric,C23733
10k,"R10,R11,R12,R13,R4,R6,R7,R8,R9",R_0402_1005Metric,C25744
1k5,R5,R_0402_1005Metric,C25867
5.1k,"R2,R3",R_0402_1005Metric,C25905
hall effect sensor,"HALL1,HALL2,HALL3,HALL4,HALL5,HALL6,HALL7,HALL8",SOT-23,C266230
8MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C2682774
1.1A,F1,Fuse_1206_3216Metric,C2760273
1u,"C2,C3",C_0805_2012Metric,C28323
SW_SPST,SW2,SW_SPST_TL3342,C318884
1u,C10,C_0402_1005Metric,C52923
XC6206PxxxMR,U1,SOT-23,C5446
H5VU25U,U2,DFN2510 (from moonboard),C7420374
STM32F072CBTx,U3,LQFP-48_7x7mm_P0.5mm,C81720
